Year,Site,Month,Depth,Total Daphnia,Sum of Density
2015,Fall Creek,March,2,64,12800
2015,Fall Creek,March,4,28,5600
2015,Fall Creek,March,6,17,3400
2015,Fall Creek,March,8,3,600
2015,Fall Creek,March,10,3,600
2015,Fall Creek,March,12,1,200
2015,Fall Creek,March,14,4,800
2015,Fall Creek,March,20,1,200
2015,Fall Creek,March,33,1,200
2015,Fall Creek,March,35,0,0
2015,Fall Creek,April,0.5,6,1200
2015,Fall Creek,April,2,64,12800
2015,Fall Creek,April,4,28,5600
2015,Fall Creek,April,6,17,3400
2015,Fall Creek,April,8,3,600
2015,Fall Creek,April,10,3,600
2015,Fall Creek,April,12,1,200
2015,Fall Creek,April,14,4,800
2015,Fall Creek,April,20,1,200
2015,Fall Creek,April,33,1,200
2015,Fall Creek,April,35,0,0
2015,Hills Creek,March,0.5,2,400
2015,Hills Creek,March,2,15,3000
2015,Hills Creek,March,4,15,3000
2015,Hills Creek,March,6,17,3400
2015,Hills Creek,March,8,18,3600
2015,Hills Creek,March,10,6,1200
2015,Hills Creek,March,12,2,400
2015,Hills Creek,March,14,1,200
2015,Hills Creek,March,20,0,0
2015,Hills Creek,March,35,0,0
2015,Hills Creek,April,0.5,2,400
2015,Hills Creek,April,2,15,3000
2015,Hills Creek,April,4,15,3000
2015,Hills Creek,April,6,17,3400
2015,Hills Creek,April,8,18,3600
2015,Hills Creek,April,10,6,1200
2015,Hills Creek,April,12,2,400
2015,Hills Creek,April,14,1,200
2015,Hills Creek,April,20,0,0
2015,Hills Creek,April,35,0,0
2015,Lookout Point,March,0.5,12,2400
2015,Lookout Point,March,2,7,1400
2015,Lookout Point,March,4,21,4200
2015,Lookout Point,March,6,22,4400
2015,Lookout Point,March,8,14,2800
2015,Lookout Point,March,10,10,2000
2015,Lookout Point,March,12,1,200
2015,Lookout Point,March,14,0,0
2015,Lookout Point,March,20,1,200
2015,Lookout Point,March,27,1,200
2016,Lookout Point,March,35,0,0
2015,Lookout Point,April,0.5,12,2400
2015,Lookout Point,April,2,7,1400
2015,Lookout Point,April,4,21,4200
2015,Lookout Point,April,6,22,4400
2015,Lookout Point,April,8,14,2800
2015,Lookout Point,April,10,10,2000
2015,Lookout Point,April,12,1,200
2015,Lookout Point,April,14,0,0
2015,Lookout Point,April,20,1,200
2015,Lookout Point,April,27,1,200
2015,Lookout Point,April,35,0,0
