Year,Site,Month,Depth,Total Daphnia,Sum of Density
2015,Fall Creek,March,2,64,12800
2015,Fall Creek,March,4,28,5600
2015,Fall Creek,March,6,17,3400
2015,Fall Creek,March,8,3,600
2015,Fall Creek,March,10,3,600
2015,Fall Creek,March,12,1,200
2015,Fall Creek,March,14,4,800
2015,Fall Creek,March,20,1,200
2015,Fall Creek,March,33,1,200
2015,Fall Creek,March,35,0,0
2015,Fall Creek,April,0.5,6,1200
2015,Fall Creek,April,2,64,12800
2015,Fall Creek,April,4,28,5600
2015,Fall Creek,April,6,17,3400
2015,Fall Creek,April,8,3,600
2015,Fall Creek,April,10,3,600
2015,Fall Creek,April,12,1,200
2015,Fall Creek,April,14,4,800
2015,Fall Creek,April,20,1,200
2015,Fall Creek,April,33,1,200
2015,Fall Creek,April,35,0,0
2015,Hills Creek,March,0.5,2,400
2015,Hills Creek,March,2,15,3000
2015,Hills Creek,March,4,15,3000
2015,Hills Creek,March,6,17,3400
2015,Hills Creek,March,8,18,3600
2015,Hills Creek,March,10,6,1200
2015,Hills Creek,March,12,2,400
2015,Hills Creek,March,14,1,200
2015,Hills Creek,March,20,0,0
2015,Hills Creek,March,35,0,0
2015,Hills Creek,April,0.5,2,400
2015,Hills Creek,April,2,15,3000
2015,Hills Creek,April,4,15,3000
2015,Hills Creek,April,6,17,3400
2015,Hills Creek,April,8,18,3600
2015,Hills Creek,April,10,6,1200
2015,Hills Creek,April,12,2,400
2015,Hills Creek,April,14,1,200
2015,Hills Creek,April,20,0,0
2015,Hills Creek,April,35,0,0
2015,Lookout Point,March,0.5,12,2400
2015,Lookout Point,March,2,7,1400
2015,Lookout Point,March,4,21,4200
2015,Lookout Point,March,6,22,4400
2015,Lookout Point,March,8,14,2800
2015,Lookout Point,March,10,10,2000
2015,Lookout Point,March,12,1,200
2015,Lookout Point,March,14,0,0
2015,Lookout Point,March,20,1,200
2015,Lookout Point,March,27,1,200
2015,Lookout Point,March,35,0,0
2015,Lookout Point,April,0.5,12,2400
2015,Lookout Point,April,2,7,1400
2015,Lookout Point,April,4,21,4200
2015,Lookout Point,April,6,22,4400
2015,Lookout Point,April,8,14,2800
2015,Lookout Point,April,10,10,2000
2015,Lookout Point,April,12,1,200
2015,Lookout Point,April,14,0,0
2015,Lookout Point,April,20,1,200
2015,Lookout Point,April,27,1,200
2015,Lookout Point,April,35,0,0
2016,Fall Creek,April,0.5,0,0
2016,Fall Creek,April,2,3,600
2016,Fall Creek,April,4,0,0
2016,Fall Creek,April,6,0,0
2016,Fall Creek,April,8,0,0
2016,Fall Creek,April,10,0,0
2016,Fall Creek,April,12,1,200
2016,Fall Creek,April,14,0,0
2016,Fall Creek,April,20,0,0
2016,Fall Creek,April,35,0,0
2016,Fall Creek,May,0.5,1,200
2016,Fall Creek,May,2,53,10600
2016,Fall Creek,May,4,71,14200
2016,Fall Creek,May,6,60,12000
2016,Fall Creek,May,8,22,4400
2016,Fall Creek,May,10,6,1200
2016,Fall Creek,May,12,2,400
2016,Fall Creek,May,14,7,1400
2016,Fall Creek,May,20,0,0
2016,Fall Creek,May,35,0,0
2016,Fall Creek,June,0.5,3,600
2016,Fall Creek,June,2,46,9200
2016,Fall Creek,June,4,79,15800
2016,Fall Creek,June,6,116,23200
2016,Fall Creek,June,8,119,23800
2016,Fall Creek,June,10,64,12800
2016,Fall Creek,June,12,28,5600
2016,Fall Creek,June,14,15,3000
2016,Fall Creek,June,20,3,600
2016,Fall Creek,June,35,7,1400
2016,Fall Creek,July,0.5,2,400
2016,Fall Creek,July,2,8,1600
2016,Fall Creek,July,4,12,2400
2016,Fall Creek,July,6,4,800
2016,Fall Creek,July,8,15,3000
2016,Fall Creek,July,10,17,3400
2016,Fall Creek,July,12,7,1400
2016,Fall Creek,July,14,3,600
2016,Fall Creek,July,20,2,400
2016,Fall Creek,July,32,0,0
2016,Fall Creek,August,0.5,1,200
2016,Fall Creek,August,2,1,200
2016,Fall Creek,August,4,0,0
2016,Fall Creek,August,6,5,1000
2016,Fall Creek,August,8,0,0
2016,Fall Creek,August,10,0,0
2016,Fall Creek,August,12,0,0
2016,Fall Creek,August,14,0,0
2016,Fall Creek,August,20,0,0
2016,Fall Creek,August,35,0,0
2016,Fall Creek,September,0.5,2,400
2016,Fall Creek,September,2,8,1600
2016,Fall Creek,September,4,31,6200
2016,Fall Creek,September,6,22,4400
2016,Fall Creek,September,8,6,1200
2016,Fall Creek,September,10,4,800
2016,Fall Creek,September,12,4,800
2016,Fall Creek,September,14,1,200
2016,Fall Creek,September,20,0,0
2016,Fall Creek,September,35,0,0
2016,Hills Creek,April,0.5,0,0
2016,Hills Creek,April,2,0,0
2016,Hills Creek,April,4,0,0
2016,Hills Creek,April,6,0,0
2016,Hills Creek,April,8,1,200
2016,Hills Creek,April,10,0,0
2016,Hills Creek,April,12,0,0
2016,Hills Creek,April,14,0,0
2016,Hills Creek,April,20,0,0
2016,Hills Creek,April,35,0,0
2016,Hills Creek,May,0.5,3,600
2016,Hills Creek,May,2,20,4000
2016,Hills Creek,May,4,42,8400
2016,Hills Creek,May,6,29,5800
2016,Hills Creek,May,8,3,600
2016,Hills Creek,May,10,1,200
2016,Hills Creek,May,12,0,0
2016,Hills Creek,May,14,1,200
2016,Hills Creek,May,20,0,0
2016,Hills Creek,May,35,0,0
2016,Hills Creek,June,0.5,5,1000
2016,Hills Creek,June,2,37,7400
2016,Hills Creek,June,4,142,28400
2016,Hills Creek,June,6,124,24800
2016,Hills Creek,June,8,61,12200
2016,Hills Creek,June,10,64,12800
2016,Hills Creek,June,12,31,6200
2016,Hills Creek,June,14,36,7200
2016,Hills Creek,June,20,0,0
2016,Hills Creek,June,35,0,0
2016,Hills Creek,July,0.5,1,200
2016,Hills Creek,July,2,12,2400
2016,Hills Creek,July,4,17,3400
2016,Hills Creek,July,6,12,2400
2016,Hills Creek,July,8,8,1600
2016,Hills Creek,July,10,2,400
2016,Hills Creek,July,12,1,200
2016,Hills Creek,July,14,1,200
2016,Hills Creek,July,20,2,400
2016,Hills Creek,July,32,0,0
2016,Hills Creek,August,0.5,20,4000
2016,Hills Creek,August,2,9,1800
2016,Hills Creek,August,4,9,1800
2016,Hills Creek,August,6,13,2600
2016,Hills Creek,August,8,16,3200
2016,Hills Creek,August,10,4,800
2016,Hills Creek,August,12,8,1600
2016,Hills Creek,August,14,2,400
2016,Hills Creek,August,20,0,0
2016,Hills Creek,August,35,3,600
2016,Hills Creek,September,0.5,1,200
2016,Hills Creek,September,2,11,2200
2016,Hills Creek,September,4,44,8800
2016,Hills Creek,September,6,32,6400
2016,Hills Creek,September,8,35,7000
2016,Hills Creek,September,10,36,7200
2016,Hills Creek,September,12,20,4000
2016,Hills Creek,September,14,9,1800
2016,Hills Creek,September,20,0,0
2016,Hills Creek,September,35,0,0
2016,Lookout Point,April,0.5,0,0
2016,Lookout Point,April,2,1,200
2016,Lookout Point,April,4,0,0
2016,Lookout Point,April,6,0,0
2016,Lookout Point,April,8,0,0
2016,Lookout Point,April,10,0,0
2016,Lookout Point,April,12,0,0
2016,Lookout Point,April,14,0,0
2016,Lookout Point,April,20,0,0
2016,Lookout Point,April,35,0,0
2016,Lookout Point,May,0.5,2,400
2016,Lookout Point,May,2,0,0
2016,Lookout Point,May,4,0,0
2016,Lookout Point,May,6,2,400
2016,Lookout Point,May,8,0,0
2016,Lookout Point,May,10,0,0
2016,Lookout Point,May,12,0,0
2016,Lookout Point,May,14,0,0
2016,Lookout Point,May,20,0,0
2016,Lookout Point,May,35,0,0
2016,Lookout Point,June,0.5,0,0
2016,Lookout Point,June,2,9,1800
2016,Lookout Point,June,4,20,4000
2016,Lookout Point,June,6,27,5400
2016,Lookout Point,June,8,28,5600
2016,Lookout Point,June,10,10,2000
2016,Lookout Point,June,12,7,1400
2016,Lookout Point,June,14,0,0
2016,Lookout Point,June,20,0,0
2016,Lookout Point,June,35,1,200
2016,Lookout Point,July,0.5,3,600
2016,Lookout Point,July,2,11,2200
2016,Lookout Point,July,4,34,6800
2016,Lookout Point,July,6,22,4400
2016,Lookout Point,July,8,19,3800
2016,Lookout Point,July,10,18,3600
2016,Lookout Point,July,12,7,1400
2016,Lookout Point,July,14,2,400
2016,Lookout Point,July,20,4,800
2016,Lookout Point,July,32,0,0
2016,Lookout Point,August,0.5,2,400
2016,Lookout Point,August,2,6,1200
2016,Lookout Point,August,4,20,4000
2016,Lookout Point,August,6,16,3200
2016,Lookout Point,August,8,9,1800
2016,Lookout Point,August,10,2,400
2016,Lookout Point,August,12,1,200
2016,Lookout Point,August,14,0,0
2016,Lookout Point,August,20,1,200
2016,Lookout Point,August,35,0,0
2016,Lookout Point,September,0.5,0,0
2016,Lookout Point,September,2,0,0
2016,Lookout Point,September,4,23,4600
2016,Lookout Point,September,6,4,800
2016,Lookout Point,September,8,5,1000
2016,Lookout Point,September,10,2,400
2016,Lookout Point,September,12,2,400
2016,Lookout Point,September,14,2,400
2016,Lookout Point,September,20,1,200
2016,Lookout Point,September,35,2,400
